Unnamed: 0,category,target,prime,relation,similarity,lev-distance,frequency,is_in_category,target-frequency,prime-frequency
0,ANIMALI,cigno ,MAPPA,Unrelated-Nonrhyme,-0.0547353886067867,0.0,,right,33883,541149.0
1,ANIMALI,cigno ,RAGNO,Related-Rhyme,0.4948140382766723,0.75,,right,33883,66249.0
2,ANIMALI,cigno ,OCA,Related-Nonrhyme,0.2984360158443451,0.0,,right,33883,58235.0
3,ANIMALI,cigno ,TIGLIO,Unrelated-Rhyme,0.280412346124649,0.6,,right,33883,19101.0
4,ANIMALI,flauto,,Random,0.0562425293028354,0.0,,left,71281,
5,ANIMALI,gatto ,RATTO ,Related-Rhyme,0.6607266664505005,1.0,,right,551332,42429.0
6,ANIMALI,gatto ,CANE,Related-Nonrhyme,0.852755606174469,0.25,,right,551332,1257973.0
7,ANIMALI,gatto ,PIATTO,Unrelated-Rhyme,0.3770413398742676,0.8,,right,551332,1120563.0
8,ANIMALI,gatto ,TAVOLO,Unrelated-Nonrhyme,0.2413206398487091,0.25,,right,551332,912018.0
9,ANIMALI,matita,,Random,-0.0945715978741645,0.0,,left,120928,
10,ANIMALI,pollo,GALLO,Related-Rhyme,0.3689934313297272,0.75,,right,181639,48337.0
11,ANIMALI,pollo,TOPO,Related-Nonrhyme,0.3723395466804504,0.5,,right,181639,141070.0
12,ANIMALI,pollo,COLLO,Unrelated-Rhyme,0.3435249924659729,1.0,,right,181639,371867.0
13,ANIMALI,pollo,TRUCCO,Unrelated-Nonrhyme,0.207912877202034,0.25,,right,181639,293947.0
14,ANIMALI,schiena,,Random,-0.0715539306402206,0.25,,left,335268,
15,ANIMALI,secchio,,Random,-0.0922825932502746,0.0,,left,45527,
16,ANIMALI,sveglia,,Random,0.0194950886070728,0.0,,left,137483,
17,ANIMALI,topo,SACCO,Unrelated-Nonrhyme,0.2705079913139343,0.25,,right,141070,482230.0
18,ANIMALI,topo,POLPO,Related-Rhyme,0.4055564999580383,0.75,,right,141070,26451.0
19,ANIMALI,topo,GATTO,Related-Nonrhyme,0.7005341053009033,0.25,,right,141070,551332.0
20,ANIMALI,topo,CUOCO,Unrelated-Rhyme,0.1985281705856323,0.5,,right,141070,119091.0
